trade_id,interval,segment_id,engine,side,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd
500ms-s0-t90,500ms,0,PRIMARY,BUY,1789721882.816,1789722322.498,momentum_zero_cross,439.6819999217987,0.08735632027782084,45.395795312804836,11.590000000000146,-1.0100000000002183
500ms-s0-t91,500ms,0,SECONDARY,BUY,1789722363.9980001,1789723566.3990002,max_hold,1202.4010000228882,0.0909139064211347,59.68647109902083,7.5600000000004,-3.5200000000004366
500ms-s0-t92,500ms,0,PRIMARY,BUY,1789723626.188,1789724526.463,max_hold,900.2750000953674,0.09559142690650185,28.45121392351588,3.3299999999999272,-2.6599999999998545
500ms-s0-t93,500ms,0,BURST,SELL,1789728974.4169998,1789729006.2489998,momentum_zero_cross,31.832000017166138,0.09782109693909644,-2.902122164421513,0.0,-0.8800000000001091
500ms-s0-t94,500ms,0,PRIMARY,SELL,1789730727.8140001,1789731283.302,momentum_zero_cross,555.4879999160767,0.0975936628887134,11.768297291280883,3.0799999999999272,-1.0499999999992724
500ms-s0-t95,500ms,0,PRIMARY,BUY,1789733442.8700001,1789733823.9889998,emergency_stop,381.11899971961975,0.09851592300301193,-37.807004666456514,0.32999999999992724,-4.010000000000218
500ms-s0-t96,500ms,0,PRIMARY,SELL,1789735360.477,1789736260.488,max_hold,900.010999917984,0.09555305661869617,12.43669432457157,5.480000000000473,-1.6700000000000728
500ms-s0-t97,500ms,0,MICRO,SELL,1789740383.483,1789740428.924,stagnation,45.44099998474121,0.09652769779620729,-32.79455702478324,0.0,-3.610000000000582
500ms-s1-t0,500ms,1,PRIMARY,SELL,1789742547.9980001,1789742919.429,momentum_zero_cross,371.4309997558594,0.039184093139022026,6.112499999996999,3.2299999999995634,-0.6500000000005457
500ms-s1-t1,500ms,1,SECONDARY,BUY,1789743897.458,1789743949.368,emergency_stop,51.91000008583069,0.03966311867764633,-15.980502187500043,2.449999999999818,-4.210000000000036
500ms-s1-t2,500ms,1,PRIMARY,SELL,1789743963.4339998,1789744863.4689999,max_hold,900.0350000858307,0.03841075570539964,21.65158100336491,5.889999999999418,-3.6900000000005093
500ms-s1-t3,500ms,1,MICRO,SELL,1789744864.375,1789745149.474,take_profit,285.0989999771118,0.0401075508386855,25.66914512498394,10.220000000000255,-0.47999999999956344
500ms-s1-t4,500ms,1,SECONDARY,SELL,1789745230.8769999,1789745380.437,emergency_stop,149.56000018119812,0.04211919518543839,-17.05068766702524,1.0100000000002183,-4.230000000000473
500ms-s1-t5,500ms,1,MICRO,BUY,1789745476.022,1789745809.4329998,trail,333.41099977493286,0.0407829637181802,23.51566701412273,9.25,-1.4099999999998545
500ms-s1-t6,500ms,1,PRIMARY,BUY,1789747212.315,1789747341.9950001,momentum_zero_cross,129.6800000667572,0.042625843891195433,-11.136714974818858,3.0600000000004,-2.7299999999995634
500ms-s1-t7,500ms,1,MICRO,SELL,1789747384.487,1789747429.951,stagnation,45.46399998664856,0.041753079737523346,-4.954863191311185,0.0,-2.149999999999636
500ms-s1-t8,500ms,1,SECONDARY,BUY,1789747489.987,1789748601.427,emergency_stop,1111.4400000572205,0.041364776095964444,-16.389001185029993,5.100000000000364,-4.139999999999418
500ms-s1-t9,500ms,1,PRIMARY,SELL,1789749090.464,1789749990.493,max_hold,900.029000043869,0.04008039979818493,19.90769004924124,9.650000000000546,-0.8799999999991996
500ms-s1-t10,500ms,1,PRIMARY,SELL,1789750451.994,1789751026.465,emergency_stop,574.470999956131,0.041640529360329435,-16.299002169021882,2.5600000000004,-4.0900000000001455
500ms-s1-t11,500ms,1,BURST,SELL,1789751987.461,1789752079.499,momentum_zero_cross,92.03800010681152,0.04036320612220129,8.961797125614723,3.949999999999818,-0.8699999999998909
500ms-s1-t12,500ms,1,PRIMARY,SELL,1789752079.999,1789752139.968,emergency_stop,59.9689998626709,0.0410655259087275,-16.270436257669555,0.15999999999985448,-4.140000000000327
500ms-s1-t13,500ms,1,MICRO,BUY,1789752173.904,1789752174.202,momentum_zero_cross,0.29799985885620117,0.03979044132926141,-1.2566495023949689,0.0,-0.32999999999992724
500ms-s1-t14,500ms,1,PRIMARY,BUY,1789753818.487,1789754157.972,momentum_zero_cross,339.4849998950958,0.03969195998697151,5.280059454175902,5.639999999999418,-0.6599999999998545
500ms-s1-t15,500ms,1,SECONDARY,SELL,1789754302.941,1789754629.473,momentum_zero_cross,326.53200006484985,0.04010574866983552,2.1877764907708985,2.709999999999127,-0.6700000000000728
500ms-s1-t16,500ms,1,SECONDARY,BUY,1789757067.9889998,1789758267.99,max_hold,1200.0010001659393,0.04027720074539898,7.053941229024653,3.050000000000182,-2.6400000000003274
500ms-s1-t17,500ms,1,PRIMARY,BUY,1789758584.742,1789758913.959,momentum_zero_cross,329.2170000076294,0.040830005325629554,0.7815034505340757,4.739999999999782,-0.7300000000004729
500ms-s1-t18,500ms,1,PRIMARY,BUY,1789759468.945,1789760369.1529999,max_hold,900.2079999446869,0.04089125033361794,29.272071393577825,12.539999999999964,-3.9799999999995634
500ms-s1-t19,500ms,1,PRIMARY,BUY,1789761354.9889998,1789761545.753,momentum_zero_cross,190.76400017738342,0.04318524947733404,-6.364695358567197,1.1000000000003638,-1.5799999999999272
500ms-s1-t20,500ms,1,PRIMARY,BUY,1789762637.884,1789762735.922,momentum_zero_cross,98.03799986839294,0.04268645984587085,-7.7618493127517105,1.0099999999993088,-1.9000000000005457
500ms-s1-t21,500ms,1,SECONDARY,BUY,1789763657.457,1789764857.978,max_hold,1200.5209999084473,0.042078177793067016,9.141221852263383,5.1899999999996,-1.1700000000000728
500ms-s1-t22,500ms,1,PRIMARY,SELL,1789767860.959,1789768061.9129999,momentum_zero_cross,200.95399975776672,0.042794558769994114,-3.808842102862716,1.8900000000003274,-0.930000000000291
500ms-s2-t0,500ms,2,MICRO,BUY,1789963644.3939998,1789963940.188,momentum_zero_cross,295.7940001487732,0.039184093139022026,-3.8249999999982265,2.740000000000691,-1.1699999999991633
500ms-s2-t1,500ms,2,PRIMARY,SELL,1789967510.961,1789968412.476,max_hold,901.5150001049042,0.038884334826508646,13.768856249999372,8.699999999999818,-1.9699999999993452
500ms-s2-t2,500ms,2,SECONDARY,SELL,1789968692.959,1789969892.9740002,max_hold,1200.0150001049042,0.03996337511794421,-4.360019970938763,3.149999999999636,-3.2100000000000364
500ms-s2-t3,500ms,2,SECONDARY,SELL,1789970946.9539998,1789971214.91,emergency_stop,267.95600032806396,0.03962168826068569,-15.5467029655791,0.0,-4.099999999999454
500ms-s2-t4,500ms,2,MICRO,BUY,1789984993.492,1789984994.3939998,momentum_zero_cross,0.9019997119903564,0.038403321346669766,-1.0290779799607217,0.0,-0.28000000000065484
500ms-s2-t5,500ms,2,BURST,BUY,1789984997.647,1789985048.376,momentum_zero_cross,50.728999853134155,0.03832267437184157,2.0905094365530776,1.8800000000001091,-0.9799999999995634
500ms-s2-t6,500ms,2,MICRO,BUY,1789985709.5100002,1789985754.127,momentum_zero_cross,44.61699986457825,0.03848650380478137,-11.160214884399032,0.4099999999998545,-3.5900000000001455
500ms-s2-t7,500ms,2,SECONDARY,SELL,1789993800.4910002,1789995000.6169999,max_hold,1200.1259996891022,0.03761189800581779,6.011227832318361,5.410000000000764,-2.8599999999996726
500ms-s3-t0,500ms,3,MICRO,SELL,1790004086.345,1790004330.451,trail,244.10599994659424,0.039184093139022026,18.956249999999386,5.569999999999709,-0.7899999999999636
500ms-s3-t1,500ms,3,SECONDARY,BUY,1790005480.473,1790005558.881,emergency_stop,78.4079999923706,0.04066966007015515,-15.56868749999998,0.5599999999994907,-4.0
500ms-s3-t2,500ms,3,PRIMARY,SELL,1790005642.848,1790005976.655,emergency_stop,333.8069999217987,0.0394495702680505,-15.101626874999983,0.0,-4.0
500ms-s3-t3,500ms,3,BURST,BUY,1790006264.459,1790006342.4899998,momentum_zero_cross,78.03099966049194,0.038266083160008985,3.4424158461547805,2.149999999999636,-1.6700000000000728
500ms-s3-t4,500ms,3,PRIMARY,BUY,1790006912.309,1790007812.4540002,max_hold,900.1450002193451,0.03853585904628694,12.096517446189457,3.4099999999998545,-0.5799999999999272
500ms-s3-t5,500ms,3,MICRO,SELL,1790008432.2870002,1790008477.479,stagnation,45.19199991226196,0.03948384117882552,1.3981140112452164,0.36999999999989086,-1.1400000000003274
500ms-s3-t6,500ms,3,PRIMARY,SELL,1790008907.91,1790009045.98,momentum_zero_cross,138.0699999332428,0.039593408838096734,-1.4019937776264209,2.5700000000006185,-0.5100000000002183
500ms-s3-t7,500ms,3,SECONDARY,BUY,1790009383.4910002,1790009571.948,emergency_stop,188.45699977874756,0.03948353712857104,-15.303562545461173,0.5299999999997453,-4.050000000000182
500ms-s3-t8,500ms,3,PRIMARY,SELL,1790009592.7849998,1790010322.499,take_profit,729.7140002250671,0.038284224688290645,92.65954289139835,25.289999999999964,-1.0499999999992724
500ms-s3-t9,500ms,3,MICRO,SELL,1790010346.9689999,1790010391.982,stagnation,45.01300024986267,0.04554578500604216,-8.020242179057849,0.0,-2.199999999999818
500ms-s3-t10,500ms,3,MICRO,BUY,1790010460.962,1790010461.461,momentum_zero_cross,0.49900007247924805,0.04491725317295873,0.25792052729474907,0.06000000000040018,0.0
500ms-s3-t11,500ms,3,BURST,SELL,1790012061.956,1790012111.929,momentum_zero_cross,49.972999811172485,0.044937465936886696,5.332756224962743,2.5,-0.06999999999970896
500ms-s3-t12,500ms,3,SECONDARY,BUY,1790016648.988,1790016677.4950001,emergency_stop,28.507000207901,0.04535538437009998,-18.05691900698647,0.06000000000040018,-4.1599999999998545
500ms-s3-t13,500ms,3,BURST,SELL,1790018047.4380002,1790018076.831,momentum_zero_cross,29.39299988746643,0.0439402963777529,-4.205178637973346,0.15999999999985448,-1.2200000000002547
500ms-s3-t14,500ms,3,PRIMARY,BUY,1790018369.8179998,1790018583.9950001,emergency_stop,214.17700028419495,0.043610744154919764,-17.94665113221151,0.43000000000029104,-4.300000000000182
500ms-s3-t15,500ms,3,BURST,SELL,1790022664.515,1790022694.4620001,momentum_zero_cross,29.94700002670288,0.042204297655923546,-2.1406911547883607,0.8699999999998909,-0.7399999999997817
500ms-s4-t0,500ms,4,MICRO,SELL,1790050280.4819999,1790050703.485,trail,423.00300002098083,0.039184093139022026,19.921874999999147,6.1599999999998545,-1.7399999999997817
500ms-s4-t1,500ms,4,PRIMARY,SELL,1790052562.477,1790052905.838,emergency_stop,343.36100006103516,0.040745334350029874,-15.675644531248134,1.180000000000291,-4.019999999999527
500ms-s4-t2,500ms,4,PRIMARY,SELL,1790057259.33,1790057517.401,momentum_zero_cross,258.07100009918213,0.03951686251937662,-2.4203819062512437,2.130000000000109,-0.6400000000003274
500ms-s4-t3,500ms,4,MICRO,BUY,1790066882.3779998,1790067216.333,trail,333.95500016212463,0.03932718157928351,11.21580771537365,5.020000000000437,-0.930000000000291
500ms-s4-t4,500ms,4,BURST,BUY,1790068421.339,1790068481.346,stagnation,60.00699996948242,0.040206144087580636,0.8465187328594711,0.5500000000001819,-1.6099999999996726
