window,interval,segment_id,strategy,trade_index,entry_index,exit_index,engine,side,entry_ts,exit_ts,hold_sec,exit_reason,entry_balance_inr,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_move_usd,partial_pnl_inr
historical7d,1s,0,router_v2,14,13858,13859,MICRO,SELL,1789584568.838,1789584569.9950001,1.1570000648498535,momentum_zero_cross,516.4691537371384,0.04047475084693584,-1.8592889534520072,0.0,-0.47999999999956344,-0.47999999999956344,0.0
historical7d,1s,0,router_v2,15,16166,16318,PRIMARY,SELL,1789586926.748,1789587086.985,160.2369999885559,momentum_zero_cross,514.6098647836864,0.040329041743887,-10.72961568073888,0.0,-2.7799999999997453,-2.7799999999997453,0.0
historical7d,1s,0,router_v2,16,21027,21349,SECONDARY,BUY,1789592041.932,1789592367.977,326.04500007629395,take_profit,503.88024910294746,0.03948818122352702,30.913053282466922,8.180000000000291,-2.130000000000109,8.180000000000291,0.0
historical7d,1s,0,router_v2,17,21517,21521,MICRO,SELL,1789592535.972,1789592539.9299998,3.9579999446868896,emergency_stop,534.7933023854143,0.04191078114159049,-16.565222541388646,0.0,-4.130000000000109,-4.130000000000109,0.0
historical7d,1s,0,router_v2,18,21573,21587,SECONDARY,BUY,1789592591.9859998,1789592605.997,14.011000156402588,emergency_stop,518.2280798440257,0.0406125946957297,-20.405230643858513,2.300000000000182,-5.25,-5.25,0.0
historical7d,1s,0,router_v2,19,21984,21985,MICRO,SELL,1789593002.968,1789593003.9740002,1.006000280380249,momentum_zero_cross,497.82284920016724,0.03901347377958534,-0.37336713690148376,0.0,-0.1000000000003638,-0.1000000000003638,0.0
historical7d,1s,0,router_v2,20,22015,22915,PRIMARY,SELL,1789593033.9889998,1789593933.999,900.0100002288818,max_hold,497.44948206326575,0.03898421367425055,55.03034895324878,21.089999999999236,-2.130000000000109,14.75,0.0
historical7d,1s,0,router_v2,21,23250,23261,MICRO,SELL,1789594268.9689999,1789594279.979,11.010000228881836,trail,552.4798310165145,0.043296842311964505,7.914273579310966,4.170000000000073,-0.7799999999997453,1.9099999999998545,0.0
historical7d,1s,0,router_v2,22,23340,23371,MICRO,SELL,1789594358.949,1789594389.985,31.03600001335144,trail,560.3941045958254,0.04391706957808335,6.808788370842643,4.3700000000008,-2.6099999999996726,1.6200000000008004,0.0
historical7d,1s,0,router_v2,23,23406,23417,PRIMARY,SELL,1789594424.963,1789594435.9689999,11.00599980354309,emergency_stop,567.2028929666681,0.044450661973457324,-22.418694344505543,0.0,-5.269999999999527,-5.269999999999527,0.0
historical7d,1s,0,router_v2,24,23744,23760,MICRO,BUY,1789594762.982,1789594778.951,15.968999862670898,trail,544.7841986221625,0.042693749558956585,8.539492313402993,4.650000000000546,-0.08999999999923602,2.0900000000001455,0.0
historical7d,1s,0,router_v2,25,23971,24003,MICRO,BUY,1789594989.979,1789595021.9539998,31.97499966621399,trail,553.3236909355655,0.04336297408329328,21.382502381591866,5.970000000000255,-2.319999999999709,3.8400000000001455,17.398571806855642
historical7d,1s,0,router_v2,26,24048,24056,SECONDARY,BUY,1789595066.9980001,1789595074.951,7.952999830245972,emergency_stop,574.7061933171574,0.045038682013024585,-17.672215444504157,0.0,-4.100000000000364,-4.100000000000364,0.0
historical7d,1s,0,router_v2,27,24316,24612,PRIMARY,SELL,1789595334.9580002,1789595630.966,296.0079998970032,take_profit,557.0339778726533,0.04365374254112396,108.53807058848467,25.979999999999563,-1.5100000000002183,25.979999999999563,0.0
historical7d,1s,0,router_v2,28,24619,24658,SECONDARY,SELL,1789595637.978,1789595676.9539998,38.97599983215332,emergency_stop,665.5720484611379,0.05215967427526182,-22.463056635563404,0.42000000000007276,-4.5,-4.5,0.0
historical7d,1s,0,router_v2,29,24750,24762,SECONDARY,SELL,1789595768.968,1789595780.988,12.019999980926514,emergency_stop,643.1089918255745,0.05039928526847173,-22.86252465940251,2.5999999999994543,-4.740000000000691,-4.740000000000691,0.0
historical7d,1s,0,router_v2,30,24915,24953,SECONDARY,BUY,1789595933.964,1789595971.9889998,38.02499985694885,emergency_stop,620.246467166172,0.048607590677177306,-20.561170386558942,0.0,-4.420000000000073,-4.420000000000073,0.0
historical7d,1s,0,router_v2,31,25334,25379,MICRO,SELL,1789596352.959,1789596397.9889998,45.02999973297119,stagnation,599.685296779613,0.046996249046228844,-8.54551547911194,0.0,-3.9200000000000728,-1.9000000000005457,0.0
historical7d,1s,0,router_v2,32,25520,25533,PRIMARY,SELL,1789596538.9550002,1789596551.9689999,13.013999700546265,emergency_stop,591.1397813005011,0.046326552497319894,-17.778528922613535,0.0,-4.010000000000218,-4.010000000000218,0.0
historical7d,1s,0,router_v2,33,25875,25876,MICRO,BUY,1789596893.973,1789596894.977,1.003999948501587,momentum_zero_cross,573.3612523778876,0.044933281430962924,1.8490900389199392,0.43000000000029104,0.0,0.43000000000029104,0.0
historical7d,1s,0,router_v2,34,25894,25937,SECONDARY,BUY,1789596912.948,1789596955.987,43.039000034332275,emergency_stop,575.2103424168075,0.04507819126357788,-21.52724706494808,2.8200000000006185,-4.989999999999782,-4.989999999999782,0.0
historical7d,1s,0,router_v2,35,26121,26171,PRIMARY,SELL,1789597139.999,1789597189.9910002,49.992000102996826,emergency_stop,553.6830953518595,0.04339113995553855,-17.233386342825117,0.75,-4.149999999999636,-4.149999999999636,0.0
historical7d,1s,0,router_v2,36,26568,26614,MICRO,SELL,1789597586.985,1789597632.981,45.99600005149841,stagnation,536.4497090090343,0.04204059072442253,2.293322506012451,0.569999999999709,-2.449999999999818,0.569999999999709,0.0
historical7d,1s,0,router_v2,37,26762,26863,SECONDARY,BUY,1789597780.968,1789597881.968,101.0,take_profit,538.7430315150468,0.042220314249769346,33.61756516654142,8.320000000000618,-0.07999999999992724,8.320000000000618,0.0
historical7d,1s,0,router_v2,38,27068,27158,SECONDARY,BUY,1789598086.937,1789598176.878,89.94099998474121,emergency_stop,572.3605966815883,0.04485486185895515,-17.42838016895608,2.319999999999709,-4.0600000000004,-4.0600000000004,0.0
historical7d,1s,0,router_v2,39,27185,27235,PRIMARY,SELL,1789598203.9580002,1789598253.957,49.99899983406067,emergency_stop,554.9322165126322,0.043489031315349834,-19.10354155344797,0.0,-4.5900000000001455,-4.5900000000001455,0.0
