window,interval,segment_id,pair_type,entry_delta_sec,candidate_d_engine,candidate_d_side,candidate_d_entry_ts,candidate_d_exit_ts,candidate_d_exit_reason,candidate_d_pnl_inr,candidate_d_mfe_usd,candidate_d_mae_usd,router_engine,router_side,router_entry_ts,router_exit_ts,router_exit_reason,router_pnl_inr,router_mfe_usd,router_mae_usd,paired_pnl_delta_router_minus_d
historical7d,500ms,0,exact_same_action,0.0,SECONDARY,SELL,1789684082.9740002,1789685283.444,max_hold,-18.284127050837345,0.6199999999998909,-3.9200000000000728,SECONDARY,SELL,1789684082.9740002,1789685283.444,max_hold,-12.876587708243061,0.6199999999998909,-3.9200000000000728,5.4075393425942835
historical7d,500ms,0,exact_same_action,0.0,BURST,BUY,1789701778.447,1789701844.474,momentum_zero_cross,8.78484490424723,1.7799999999997453,-0.36999999999989086,BURST,BUY,1789701778.447,1789701844.474,momentum_zero_cross,6.1867228114492425,1.7799999999997453,-0.36999999999989086,-2.598122092797987
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789702326.9910002,1789703227.079,max_hold,-18.558018648090407,1.8299999999999272,-2.9700000000002547,PRIMARY,BUY,1789702326.9910002,1789703227.079,max_hold,-13.069475734276459,1.8299999999999272,-2.9700000000002547,5.488542913813948
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789705225.456,1789705870.4950001,emergency_stop,-33.66214315304514,2.3299999999999272,-4.020000000000437,PRIMARY,BUY,1789705225.456,1789705870.4950001,emergency_stop,-23.706548174405125,2.3299999999999272,-4.020000000000437,9.955594978640018
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789706581.792,1789707481.849,max_hold,-6.090901033018131,4.75,-1.449999999999818,PRIMARY,SELL,1789706581.792,1789707481.849,max_hold,-4.289514131892582,4.75,-1.449999999999818,1.8013869011255492
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789712211.0449998,1789713111.404,max_hold,-3.3109630440388718,8.05999999999949,-0.7000000000007276,PRIMARY,SELL,1789712211.0449998,1789713111.404,max_hold,-2.3317441361448803,8.05999999999949,-0.7000000000007276,0.9792189078939915
historical7d,500ms,0,exact_same_action,0.0,BURST,BUY,1789713296.6780002,1789713363.177,momentum_zero_cross,9.097276758361804,1.949999999999818,-0.25,BURST,BUY,1789713296.6780002,1789713363.177,momentum_zero_cross,6.406752794897159,1.949999999999818,-0.25,-2.6905239634646456
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789713750.544,1789714650.717,max_hold,34.505397132986005,4.710000000000036,-0.0500000000001819,PRIMARY,BUY,1789713750.544,1789714650.717,max_hold,24.30040938543495,4.710000000000036,-0.0500000000001819,-10.204987747551055
historical7d,500ms,0,exact_same_action,0.0,BURST,SELL,1789720203.473,1789720238.871,momentum_zero_cross,-2.261981011764123,1.0799999999999272,-2.230000000000473,BURST,SELL,1789720203.473,1789720238.871,momentum_zero_cross,-1.5929990429063017,1.0799999999999272,-2.230000000000473,0.6689819688578214
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789721882.816,1789722322.498,momentum_zero_cross,45.39883228202899,11.590000000000146,-1.0100000000002183,PRIMARY,BUY,1789721882.816,1789722322.498,momentum_zero_cross,31.972105865704496,11.590000000000146,-1.0100000000002183,-13.426726416324495
historical7d,500ms,0,exact_same_action,0.0,SECONDARY,BUY,1789722363.9980001,1789723566.3990002,max_hold,59.690464111470035,7.5600000000004,-3.5200000000004366,SECONDARY,BUY,1789722363.9980001,1789723566.3990002,max_hold,42.03698072869601,7.5600000000004,-3.5200000000004366,-17.653483382774027
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789723626.188,1789724526.463,max_hold,28.453117303784467,3.3299999999999272,-2.6599999999998545,PRIMARY,BUY,1789723626.188,1789724526.463,max_hold,20.0380942178112,3.3299999999999272,-2.6599999999998545,-8.415023085973267
