window,interval,segment_id,engine,side,side_sign,entry_ts,bid_update_frac2,ask_update_frac2,both_update_frac2,bid_ask_update_imb2,bid_update_frac10,ask_update_frac10,both_update_frac10,bid_ask_update_imb10,trade_count2,trade_count10,trade_quote_ratio2,trade_quote_ratio10,buy_trade_count2,sell_trade_count2,dir_trade_count_imb2,buy_trade_count10,sell_trade_count10,dir_trade_count_imb10,buy_volume2,sell_volume2,dir_trade_volume_imb2,buy_volume10,sell_volume10,dir_trade_volume_imb10,last_move2,last_move10,dir_last_move2,dir_last_move10
historical7d,1s,1,MICRO,BUY,1,1789745476.976,0.95,0.7,0.65,0.15151515151515152,0.9185185185185185,0.7555555555555555,0.674074074074074,0.09734513274336283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,1,MICRO,SELL,-1,1789747390.945,0.7037037037037037,0.9259259259259259,0.6296296296296297,-0.13636363636363635,0.8733333333333333,0.8066666666666666,0.68,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,1,MICRO,BUY,1,1789747502.9580002,0.6785714285714286,0.8214285714285714,0.5,-0.09523809523809523,0.7692307692307693,0.875,0.6442307692307693,-0.06432748538011696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,1,MICRO,SELL,-1,1789751983.9539998,0.9285714285714286,0.8214285714285714,0.75,0.061224489795918366,0.9357798165137615,0.7981651376146789,0.7339449541284404,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,1,MICRO,BUY,1,1789752173.904,0.7407407407407407,0.8888888888888888,0.6296296296296297,-0.09090909090909091,0.7,0.8846153846153846,0.5846153846153846,-0.11650485436893204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,1,MICRO,BUY,1,1789753891.9550002,0.6875,0.90625,0.59375,-0.13725490196078433,0.6,0.8758620689655172,0.47586206896551725,-0.18691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,1,MICRO,BUY,1,1789759757.975,0.4,1.0,0.4,-0.42857142857142855,0.4421052631578947,0.968421052631579,0.4105263157894737,-0.373134328358209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,2,MICRO,BUY,1,1789963644.742,0.8947368421052632,0.47368421052631576,0.3684210526315789,0.3076923076923077,0.8620689655172413,0.6781609195402298,0.5402298850574713,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,2,MICRO,BUY,1,1789984996.8990002,0.8947368421052632,0.7894736842105263,0.6842105263157895,0.0625,0.7840909090909091,0.875,0.6590909090909091,-0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,2,MICRO,BUY,1,1789985709.5100002,0.4,0.9,0.3,-0.38461538461538464,0.6588235294117647,0.8117647058823529,0.47058823529411764,-0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
