context,entry_ts,exit_ts,side,held_sec,peak_move_usd,exit_move_usd,retained_fraction,trade_pnl_inr
historical7d:1s:segment0,1789656876.67,1789657357.723,BUY,481.0529999732971,12.75,5.430000000000291,0.4258823529411993,18.731183422559237
historical7d:1s:segment0,1789661749.9420002,1789661990.921,BUY,240.97899985313416,5.869999999999891,2.3100000000004,0.3935264054515235,8.907980791908589
historical7d:1s:segment0,1789664822.9950001,1789664988.932,BUY,165.93699979782104,4.0700000000006185,1.7800000000006548,0.4373464373465318,6.924290348528829
historical7d:1s:segment0,1789673571.864,1789673796.966,SELL,225.10199999809265,4.149999999999636,2.019999999999527,0.48674698795173593,8.12928977695438
historical7d:1s:segment0,1789706581.792,1789707136.867,SELL,555.0750000476837,4.690000000000509,1.860000000000582,0.396588486140806,6.71363962074459
historical7d:1s:segment0,1789712211.0449998,1789712331.8060002,SELL,120.76100039482117,5.449999999999818,2.4799999999995634,0.4550458715595681,9.07639319126757
historical7d:1s:segment0,1789713750.544,1789714011.737,BUY,261.1930000782013,4.229999999999563,2.0399999999999636,0.48226950354614045,7.672237850356125
historical7d:1s:segment0,1789721883.6169999,1789722313.9329998,BUY,430.3159999847412,11.61999999999989,5.609999999999673,0.4827882960412844,21.421463496032207
historical7d:1s:segment0,1789735360.577,1789735640.9169998,SELL,280.3399999141693,5.420000000000073,2.569999999999709,0.47416974169735693,11.068629814967567
historical7d:1s:segment1,1789749091.967,1789749476.979,SELL,385.01200008392334,8.600000000000364,4.149999999999636,0.482558139534821,16.234941864648498
historical7d:1s:segment1,1789753819.984,1789754010.997,BUY,191.0130000114441,5.350000000000364,2.3900000000003274,0.44672897196264766,8.765575958398482
historical7d:1s:segment1,1789758585.943,1789758820.985,BUY,235.04199981689453,4.510000000000218,1.7299999999995634,0.38359201773824386,6.5605938788807086
historical7d:1s:segment2,1789967510.961,1789968412.9859998,SELL,902.0249998569489,8.699999999999818,3.869999999999891,0.44482758620689333,14.385152812499683
historical7d:1s:segment2,1789993811.904,1789993957.9459999,SELL,146.04199981689453,4.75,2.2000000000007276,0.46315789473699526,7.637238233657088
recent24h:1s:whole,1790196504.922,1790197395.7740002,BUY,890.8520002365112,4.789999999999964,2.149999999999636,0.44885177453019887,7.702638278378302
recent24h:1s:whole,1790227939.976,1790228060.9689999,BUY,120.992999792099,4.050000000000182,1.949999999999818,0.48148148148141495,6.918811182678194
recent24h:1s:whole,1790248961.94,1790249117.926,SELL,155.98600006103516,4.140000000000327,1.9700000000002547,0.4758454106280432,6.2326312624783125
recent24h:1s:whole,1790268611.999,1790268917.907,SELL,305.9079999923706,4.0,1.3500000000003638,0.33750000000009095,3.552751823446171
recent24h:1s:whole,1790272615.978,1790273016.86,SELL,400.8819999694824,5.680000000000291,2.430000000000291,0.42781690140848,6.081187832366047
