interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
500ms,B,20261013,28,historical7d,335,1789743595.945,1789757995.432,20.97029759680296,20.97029759680296,37.955996087150865,16,16,15,7,7,7,1,1,0
500ms,B,20261013,29,recent24h,0,1790189937.112,1790204336.9299998,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,30,historical7d,0,1789582206.4899998,1789596605.468,160.72296254239407,99.30552966204186,126.89385853851138,17,18,16,5,6,6,2,2,2
500ms,B,20261013,31,recent24h,0,1790189989.339,1790204388.984,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,32,historical7d,0,1789585034.445,1789599433.98,175.37441612608234,64.307102048817,90.28431925792415,24,24,22,8,7,7,2,2,3
500ms,B,20261013,33,recent24h,0,1790189948.224,1790204347.838,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,34,historical7d,136,1789659780.477,1789674179.2419999,-17.140481406121502,7.344779375944359,-8.417844885983982,14,14,12,6,7,5,0,3,1
500ms,B,20261013,35,recent24h,0,1790189978.22,1790204377.463,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,36,historical7d,136,1789653694.4819999,1789668093.9020002,101.2547842488326,115.10756101527022,113.63483740549418,19,19,18,10,11,10,0,1,3
500ms,B,20261013,37,recent24h,0,1790189967.865,1790204367.155,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,38,historical7d,335,1789754990.474,1789769389.0259998,27.544937782547095,30.759851331348614,29.213294346673138,7,7,7,4,4,4,1,0,2
500ms,B,20261013,39,recent24h,0,1790189965.457,1790204364.9580002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,0,historical7d,335,1789755236.364,1789769635.793,27.544937782547095,30.759851331348614,29.213294346673138,7,7,7,4,4,4,1,0,2
500ms,C,20261027,1,recent24h,0,1790189959.451,1790204358.595,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,2,historical7d,133,1789633702.909,1789648100.853,41.066441202094325,47.643491664369094,57.21363586026905,6,6,5,4,4,4,0,1,2
500ms,C,20261027,3,recent24h,0,1790189952.9859998,1790204352.3430002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,4,historical7d,0,1789573553.9529998,1789587952.826,-10.874080860114304,-12.766139860421504,-2.3909920445513535,13,13,12,3,3,3,0,1,1
500ms,C,20261027,5,recent24h,0,1790189944.922,1790204344.387,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,6,historical7d,0,1789582811.412,1789597210.973,107.1752036785582,35.54363810237851,60.19676290167945,23,23,21,6,6,6,2,2,2
500ms,C,20261027,7,recent24h,0,1790189986.687,1790204386.374,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,8,historical7d,0,1789570929.9740002,1789585329.656,-10.680336594000096,-6.138624395448744,-6.138624395448744,14,14,14,5,5,5,0,0,2
500ms,C,20261027,9,recent24h,0,1790189968.9699998,1790204367.817,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,10,historical7d,0,1789575918.46,1789590316.127,-8.517083025248212,0.07221449831058635,11.518214500047634,10,10,9,3,3,3,1,1,1
500ms,C,20261027,11,recent24h,0,1790189996.445,1790204396.099,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,12,historical7d,0,1789571270.359,1789585669.856,-10.680336594000096,-6.138624395448744,-6.138624395448744,14,14,14,5,5,5,0,0,2
500ms,C,20261027,13,recent24h,0,1790189955.949,1790204354.9550002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,14,historical7d,335,1789748301.405,1789762700.972,-1.4234689814089445,1.6149080930134567,17.060425356318596,11,11,10,6,6,6,2,1,2
500ms,C,20261027,15,recent24h,0,1790189980.988,1790204379.92,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,16,historical7d,136,1789658885.956,1789673285.556,-30.271555485802708,-6.452156638333975,-8.408092687313967,17,17,15,7,8,6,0,2,1
500ms,C,20261027,17,recent24h,0,1790189988.9390001,1790204388.4329998,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,18,historical7d,335,1789743871.8209999,1789758270.189,21.394624278129868,21.394624278129868,38.394157501674044,17,17,16,8,8,8,1,1,0
500ms,C,20261027,19,recent24h,0,1790189952.9859998,1790204352.3430002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,20,historical7d,335,1789748444.959,1789762844.216,-9.343971176238142,-6.3538624634200005,7.980519649207679,12,12,11,6,6,6,1,1,2
500ms,C,20261027,21,recent24h,0,1790189993.8409998,1790204393.487,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,22,historical7d,335,1789743721.465,1789758120.961,17.30565807623819,17.30565807623819,34.17187477989064,16,16,15,7,7,7,1,1,0
500ms,C,20261027,23,recent24h,0,1790189962.903,1790204362.8009999,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,24,historical7d,335,1789755183.423,1789769582.941,27.544937782547095,30.759851331348614,29.213294346673138,7,7,7,4,4,4,1,0,2
500ms,C,20261027,25,recent24h,0,1790189985.994,1790204385.325,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,26,historical7d,133,1789634948.717,1789649348.252,10.22920764003095,16.431409422346746,25.45611825334788,6,6,5,3,3,3,0,1,2
