context,variant,entry_ts,engine,side,gc_bar_start_utc,gc_close,gc_ret5,gc_ret15,gc_ret30,gc_volume,gc_volume_rel_1h,dir_gc_ret5,dir_gc_ret15,dir_gc_ret30,basis_gc_minus_mt5
historical7d:1s:segment3,I,1790005642.848,PRIMARY,SELL,1789994400.0,4401.0,0.001409808426092951,0.0018194228353118562,-0.0014531364472267735,1118.0,1.3060747663551402,-0.001409808426092951,-0.0018194228353118562,0.0014531364472267735,45.344999999999345
historical7d:1s:segment3,I,1790006919.9699998,PRIMARY,BUY,1789995600.0,4395.0,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,690.0,0.9623430962343096,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,33.340000000000146
historical7d:1s:segment3,I,1790009590.981,PRIMARY,SELL,1789998300.0,4393.5,0.0006602617039561665,0.0005463885383002865,-0.0015919948779685687,720.0,1.032258064516129,-0.0006602617039561665,-0.0005463885383002865,0.0015919948779685687,43.11000000000058
historical7d:1s:segment4,GC-entry,1790066908.9950001,SECONDARY,BUY,1790055600.0,4357.2998046875,-0.0005507377964146798,-0.0026129720631362023,-0.005903704222536662,538.0,0.9781818181818182,-0.0005507377964146798,-0.0026129720631362023,-0.005903704222536662,27.7998046875
historical7d:1s:segment4,GC-entry,1790076896.962,SECONDARY,BUY,1790065500.0,4337.0,-0.0005301349176800585,-0.0006914832590842669,-0.00011528041974839843,974.0,1.098702763677383,-0.0005301349176800585,-0.0006914832590842669,-0.00011528041974839843,39.27000000000044
historical7d:1s:segment4,GC-entry,1790078293.721,SECONDARY,SELL,1790067000.0,4368.60009765625,0.0015348941361708057,0.005025632554551453,0.006729614229803521,1920.0,1.8207681365576103,-0.0015348941361708057,-0.005025632554551453,-0.006729614229803521,38.62009765625044
historical7d:1s:segment4,GC-entry,1790081739.948,SECONDARY,SELL,1790070600.0,4369.2001953125,0.0021996382560729444,0.0036458373717400956,0.0033013305144183025,1898.0,3.3066202090592336,-0.0021996382560729444,-0.0036458373717400956,-0.0033013305144183025,42.365195312499964
historical7d:1s:segment4,I,1790066908.9950001,SECONDARY,BUY,1790055600.0,4357.2998046875,-0.0005507377964146798,-0.0026129720631362023,-0.005903704222536662,538.0,0.9781818181818182,-0.0005507377964146798,-0.0026129720631362023,-0.005903704222536662,27.7998046875
historical7d:1s:segment4,I,1790076896.962,SECONDARY,BUY,1790065500.0,4337.0,-0.0005301349176800585,-0.0006914832590842669,-0.00011528041974839843,974.0,1.098702763677383,-0.0005301349176800585,-0.0006914832590842669,-0.00011528041974839843,39.27000000000044
historical7d:1s:segment4,I,1790078293.721,SECONDARY,SELL,1790067000.0,4368.60009765625,0.0015348941361708057,0.005025632554551453,0.006729614229803521,1920.0,1.8207681365576103,-0.0015348941361708057,-0.005025632554551453,-0.006729614229803521,38.62009765625044
historical7d:1s:segment4,I,1790081739.948,SECONDARY,SELL,1790070600.0,4369.2001953125,0.0021996382560729444,0.0036458373717400956,0.0033013305144183025,1898.0,3.3066202090592336,-0.0021996382560729444,-0.0036458373717400956,-0.0033013305144183025,42.365195312499964
recent24h:1s:whole,GC-entry,1790194365.9689999,PRIMARY,SELL,1790183100.0,4319.7998046875,0.0012508172687688557,0.00013881453315485521,-0.0011106134645305827,875.0,1.6940948693126816,-0.0012508172687688557,-0.00013881453315485521,0.0011106134645305827,41.834804687499854
recent24h:1s:whole,GC-entry,1790196065.932,SECONDARY,BUY,1790184900.0,4312.7001953125,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,519.0,0.7013513513513514,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,32.00519531250029
recent24h:1s:whole,GC-entry,1790251279.973,SECONDARY,BUY,1790240100.0,4295.5,-0.00020947691599637608,-0.0015817549279346316,-0.0007447337478024362,464.0,0.7424,-0.00020947691599637608,-0.0015817549279346316,-0.0007447337478024362,30.539999999999964
recent24h:1s:whole,GC-entry,1790267949.875,SECONDARY,BUY,1790256600.0,4307.7001953125,-0.0008352731370884214,-0.001183135541992531,-0.0017163575425463884,1125.0,1.5453296703296704,-0.0008352731370884214,-0.001183135541992531,-0.0017163575425463884,31.850195312499636
recent24h:1s:whole,GC-entry,1790272615.978,PRIMARY,SELL,1790261400.0,4294.89990234375,0.0005589357508721804,0.0007919273642284317,-0.0008844473034106599,912.0,0.9079143852663016,-0.0005589357508721804,-0.0007919273642284317,0.0008844473034106599,39.19490234375007
recent24h:1s:whole,I,1790194365.9689999,PRIMARY,SELL,1790183100.0,4319.7998046875,0.0012508172687688557,0.00013881453315485521,-0.0011106134645305827,875.0,1.6940948693126816,-0.0012508172687688557,-0.00013881453315485521,0.0011106134645305827,41.834804687499854
recent24h:1s:whole,I,1790196065.932,SECONDARY,BUY,1790184900.0,4312.7001953125,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,519.0,0.7013513513513514,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,32.00519531250029
