context,variant,ghost_kind,ghost_engine,ghost_side,origin_ts,legacy_release_ts,ghost_duration_sec,legacy_exit_reason,legacy_exit_move_usd
historical7d:1s:segment1,I,admission_skip,2,SELL,1789754302.941,1789754630.972,328.0309998989105,5,0.26999999999952706
historical7d:1s:segment1,I,admission_skip,2,BUY,1789757067.9889998,1789758267.99,1200.0010001659393,7,1.8299999999999272
historical7d:1s:segment2,H,post_real_exit,1,SELL,1789968406.965,1789968412.9859998,6.020999908447266,7,3.869999999999891
historical7d:1s:segment2,H,post_real_exit,1,SELL,1789994462.9699998,1789994712.9950001,250.025000333786,7,-2.5399999999999636
historical7d:1s:segment2,GC-entry,admission_skip,2,SELL,1789968692.959,1789969892.9740002,1200.0150001049042,7,-1.1400000000003274
historical7d:1s:segment2,GC-entry,admission_skip,2,SELL,1789984832.9750001,1789984990.985,158.00999975204468,1,-4.130000000000109
historical7d:1s:segment2,GC-exit,post_real_exit,1,SELL,1789994702.685,1789994712.9950001,10.31000018119812,7,-2.5399999999999636
historical7d:1s:segment2,I,admission_skip,2,SELL,1789968692.959,1789969892.9740002,1200.0150001049042,7,-1.1400000000003274
historical7d:1s:segment2,I,admission_skip,2,SELL,1789984832.9750001,1789984990.985,158.00999975204468,1,-4.130000000000109
historical7d:1s:segment2,I,post_real_exit,1,SELL,1789994702.685,1789994712.9950001,10.31000018119812,7,-2.5399999999999636
historical7d:1s:segment3,H,post_real_exit,1,SELL,1790010271.993,1790010322.9980001,51.00500011444092,2,25.0600000000004
historical7d:1s:segment3,GC-entry,admission_skip,1,SELL,1790005642.848,1790005976.655,333.8069999217987,1,-4.0
historical7d:1s:segment3,GC-entry,admission_skip,1,BUY,1790006919.9699998,1790007820.923,900.9530003070831,7,2.619999999999891
historical7d:1s:segment3,GC-entry,admission_skip,1,SELL,1790009590.981,1790010322.9980001,732.0170001983643,2,25.0600000000004
