label,episode_id,window,interval,segment_id,engine,side,onset_pnl_inr,onset_entry_ts,policy_action,policy_entry_ts,policy_wait_sec,policy_predicted_ev_inr,policy_pnl_inr,episode_checkpoints
historical_walkforward,historical7d|1s|3|1|1824,historical7d,1s,3,PRIMARY,SELL,-15.299999999999727,1790010253.978,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1825,historical7d,1s,3,PRIMARY,SELL,-15.037500000000819,1790010277.9980001,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1826,historical7d,1s,3,PRIMARY,SELL,-17.212500000000546,1790010289.856,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1827,historical7d,1s,3,PRIMARY,SELL,-15.562499999998636,1790010323.947,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1829,historical7d,1s,3,PRIMARY,SELL,-15.525000000001228,1790010341.962,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1831,historical7d,1s,3,PRIMARY,SELL,-16.42500000000041,1790010346.9689999,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1832,historical7d,1s,3,PRIMARY,SELL,-15.075000000001635,1790010352.985,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1833,historical7d,1s,3,PRIMARY,SELL,-15.337500000000546,1790010355.985,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1834,historical7d,1s,3,PRIMARY,SELL,-15.787500000000136,1790010357.932,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1835,historical7d,1s,3,PRIMARY,SELL,-15.075000000001635,1790010362.8899999,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1836,historical7d,1s,3,PRIMARY,SELL,-18.000000000000682,1790010364.8969998,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1837,historical7d,1s,3,PRIMARY,SELL,-15.67500000000109,1790010367.997,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1838,historical7d,1s,3,PRIMARY,SELL,-15.037499999997408,1790010369.997,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1839,historical7d,1s,3,PRIMARY,SELL,-15.825000000000953,1790010377.8620002,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1840,historical7d,1s,3,PRIMARY,SELL,-15.22499999999809,1790010390.98,SKIP,nan,nan,0.0,0.0,1
