trade_id,interval,segment_id,split,engine,side,side_sign,entry_ts,exit_ts,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_reason,window,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
500ms-evaluation-1,500ms,1,evaluation,SECONDARY,SELL,-1,1790256590.481,1790256720.447,129.96600008010864,0.038678618337528566,-15.768922499997409,0.5300000000006548,-4.259999999999309,emergency_stop,recent24h,2.162344983088902,0.7647058823505809,0.7941176470588235,0.21053787047191444,0.054223149113515084,6.069364161851243,2.4631578947354043,3.7830374753454423,2.84097035040145,0.21053787047191444,0.37037037037037035,0.11293634496919917,2.2863266865058005,-0.3778124556660458,0.9542571154198771,0.0,0.0,1.7171563101000102,0.6072664359842848,1957.5090000629425
500ms-evaluation-2,500ms,1,evaluation,PRIMARY,BUY,1,1790257759.983,1790257881.936,121.95300006866455,0.03744283648164473,-14.405099486626614,0.23999999999978172,-4.020000000000437,emergency_stop,recent24h,2.4600431965440928,0.6249999999982236,2.661654135338346,0.12426995457496498,0.03511852502191893,8.404761904762008,5.60000000000097,3.9689119170968437,3.1401515151514565,0.12426995457496498,-0.16279069767441862,-0.004524886877828055,4.435849987665165,2.459848484849514,3.4478492362573396,0.21422300263378535,0.18401206636490575,6.547784147192548,1.663533834581738,3127.0110001564026
500ms-evaluation-3,500ms,1,evaluation,PRIMARY,SELL,-1,1790258943.492,1790259008.941,65.44899988174438,0.03631393496172301,-11.746581042639432,0.07000000000061846,-3.380000000000109,momentum_zero_cross,recent24h,3.0550621669616302,0.8484848484842639,1.3153153153153154,0.20678369532891422,0.06511627906971924,6.093457943923899,5.048458149782426,6.096491228072331,2.1827541827544588,0.20678369532891422,0.3055555555555556,0.1099476439790576,-0.0030332841484321804,2.865703967027967,1.4313353414397674,0.06511627906993074,0.05982905982919603,4.018370057445027,1.116025116024347,4310.520000219345
500ms-evaluation-4,500ms,1,evaluation,MICRO,BUY,1,1790259382.96,1790259428.493,45.532999992370605,0.035393376710443306,-6.6728243402404,0.0,-3.589999999999236,stagnation,recent24h,4.802047781567278,0.8787878787879623,2.752136752136752,0.14089068825903328,0.0412224591329079,8.018018018015125,3.7573221757316126,11.504132231421966,3.916434540390178,0.14089068825903328,0.0125,-0.05507955936352509,-3.4861142134068412,-0.15911236465856549,-1.8226132890327034,0.0028429282159957445,0.0020703933746924687,13.215892185168066,2.4185444185446485,4749.988000154495
500ms-evaluation-5,500ms,1,evaluation,PRIMARY,BUY,1,1790259744.944,1790260341.3,596.3559999465942,0.034870439569546684,-13.415440664810886,0.9600000000000364,-4.020000000000437,emergency_stop,recent24h,1.3333333333329724,0.8235294117673808,1.536,0.07997664915348672,0.1250000000003045,6.35772357722839,2.6,1.3497536945813426,2.9521410579341545,0.07997664915348672,0.25,0.09502262443438914,5.007969882647048,-0.3521410579341544,2.327914412356447,0.013392857142744762,0.0036144578312949363,2.047999999999446,1.264941176474697,5111.97200012207
500ms-evaluation-6,500ms,1,evaluation,PRIMARY,BUY,1,1790262741.964,1790263641.997,900.0329999923706,0.03381909581652474,5.210859168484578,3.9600000000000364,-1.4099999999998545,max_hold,recent24h,1.362146050670362,0.8307692307704578,1.0169491525423728,0.13823331085650384,0.11816192560194913,1.289855072468009,3.1010101010094795,3.474576271183214,2.0706638115631524,0.13823331085650384,0.13333333333333333,0.07042253521126761,-2.184721198715205,1.0303462894463271,-0.5771874546344391,0.0,0.0,1.3852332718681646,0.844850065190296,8108.992000102997
500ms-evaluation-7,500ms,1,evaluation,PRIMARY,BUY,1,1790264524.4659998,1790264619.959,95.49300026893616,0.03422746139850919,-13.626662123385593,0.0,-4.1599999999998545,emergency_stop,recent24h,1.6278563656149356,0.857142857141001,1.7687074829931972,0.09266287160024388,0.08021390374312565,0.8044692737439251,2.661654135337328,4.041379310343201,2.5960539979233728,0.09266287160024388,0.046875,0.0755287009063444,-3.236910036599276,0.0656001374139552,-1.5856549495926604,0.07754010695186646,0.03271291596164027,2.8792017351012467,1.5160349854194575,9891.493999958038
500ms-evaluation-8,500ms,1,evaluation,MICRO,BUY,1,1790265166.938,1790265212.216,45.27800011634827,0.033159564602875745,-5.426582344563411,0.37000000000080036,-2.139999999999418,stagnation,recent24h,1.7275541795669622,0.8529411764701161,1.2483221476510067,0.17443408788276032,0.06929510155315075,5.662650602411012,5.639097744357355,5.53521126760576,,0.17443408788276032,0.34782608695652173,0.14285714285714285,0.12743933480525182,,,0.021505376344118737,0.013761467889930584,2.1565441436205033,1.0647453612311517,193.88199996948242
500ms-evaluation-9,500ms,1,evaluation,PRIMARY,SELL,-1,1790267679.908,1790268308.987,629.0789999961853,0.03273429318684385,-13.032200895985603,4.850000000000364,-4.1599999999998545,emergency_stop,recent24h,1.0511627906977314,0.8787878787879623,1.6153846153846154,0.04386098042190057,0.12831858407076796,4.692913385824471,3.113402061858222,1.7357357357355685,2.5990783410153133,0.04386098042190057,0.015873015873015872,-0.018276762402088774,2.9571776500889024,0.5143237208429086,1.7357506854659053,0.0,0.0,1.6980322003578738,1.4195804195805544,2706.8519999980927
500ms-evaluation-10,500ms,1,evaluation,PRIMARY,SELL,-1,1790268793.948,1790269648.477,854.529000043869,0.03171298323941436,-12.352446309638276,2.8799999999991996,-4.0700000000006185,emergency_stop,recent24h,1.1299212598422905,0.8750000000028422,0.8583333333333333,0.029266688589159307,0.09756097560998797,3.497005988023887,2.073446327684211,0.9128205128191494,2.6713532513179907,0.029266688589159307,0.24752475247524752,-0.011428571428571429,2.5841854752047375,-0.5979069236337797,0.9931392757854784,0.012195121951169272,0.025901942645591956,0.9698490813646327,0.7510416666691061,3820.8919999599457
